bank_name,sub_category,presence_score,normalized_maturity_score,strategic_score,final_score,final_score_rounded
"pinnacle_financial_partners,_inc",Data,2,2.539,2.2464986407513488,2.2648997281502696,2.26
"pnc_financial_services_group,_inc.,_the",Data,3,3.183,1.0309030580020178,2.6793806116004037,2.68
"popular,_inc",Data,2,2.842,3.099073457332271,2.5566146914664545,2.56
"prosperity_bancshares,_inc",Data,2,2.224,2.8845570235642692,2.266511404712854,2.27
"raymond_james_financial,_inc",Data,4,1.694,2.084287350620438,2.6944574701240875,2.69
regions_financial_corporation,Data,2,1.0,2.13917702960413,1.6278354059208262,1.63
"santander_holdings_usa,_inc",Data,2,4.281,1.875250361268729,2.887450072253746,2.89
southstate_corporation,Data,2,2.249,1.7974789825628834,2.059095796512577,2.06
state_street_corporation,Data,4,3.65,5.0,4.0600000000000005,4.06
synchrony_financial,Data,3,1.669,2.00377458307739,2.268354916615478,2.27
synovus_financial_corp,Data,2,1.972,1.7787894208738873,1.9445578841747775,1.94
truist_financial_corporation,Data,3,3.12,2.004741429498548,2.84894828589971,2.85
u.s._bancorp,Data,3,3.057,2.8021390630670586,2.9832278126134124,2.98
umb_financial_corporation,Data,2,1.845,2.074046738869749,1.9528093477739499,1.95
valley_national_bancorp,Data,2,2.186,1.8601620804086945,2.046432416081739,2.05
webster_financial_corporation,Data,2,3.347,2.126060512720122,2.5640121025440243,2.56
wells_fargo_&_company,Data,1,4.836,3.637173716494896,3.0618347432989794,3.06
western_alliance_bancorporation,Data,1,2.64,1.7318367367060508,1.80236734734121,1.8
wintrust_financial_corporation,Data,3,1.845,1.3580754577471188,2.209615091549424,2.21
ally_financial_inc,Analytics,3,2.502,4.05365794327442,3.011531588654884,3.01
american_express_company,Analytics,2,4.218,3.10306018659078,3.107812037318156,3.11
ameriprise_financial_inc,Analytics,1,3.953,1.144939114062776,2.210187822812555,2.21
associated_banc-corp,Analytics,3,2.274,2.413784747835066,2.5923569495670136,2.59
bank_of_america_corp,Analytics,4,2.186,5.0,3.4744,3.47
"bank_of_new_york_mellon,_the",Analytics,2,2.438,2.5742493260602,2.29004986521204,2.29
bok_financial_corporation,Analytics,2,2.375,2.109125418649363,2.1718250837298725,2.17
capital_one_financial_corporation,Analytics,4,1.934,3.604812930049475,3.094562586009895,3.09
"charles_schwab_corporation,_the",Analytics,2,2.022,1.9313233427761691,1.9950646685552338,2.0
citigroup_inc,Analytics,4,2.83,2.034517523371659,3.138903504674332,3.14
"citizens_financial_group,_inc",Analytics,3,2.729,3.0982927814024506,2.9112585562804902,2.91
"columbia_banking_system,_inc",Analytics,2,1.845,1.9373731076736285,1.9254746215347258,1.93
comerica_incorporated,Analytics,3,4.293,3.0168514040776597,3.5205702808155324,3.52
cullen_frost,Analytics,3,1.946,3.0130409189628504,2.5810081837925702,2.58
discover_financial_services,Analytics,5,1.328,2.982793581067567,3.1277587162135134,3.13
"east_west_bancorp,_inc",Analytics,3,2.413,3.2148552944983058,2.8081710588996613,2.81
f.n.b._corporation,Analytics,3,2.716,2.5616012700465864,2.798720254009318,2.8
fifth_third_bancorp,Analytics,2,2.502,1.7783774281013196,2.156475485620264,2.16
"first_citizens_bancshares,_inc",Analytics,3,1.795,2.043030973488409,2.326606194697682,2.33
first_horizon_corporation,Analytics,3,3.372,3.29057063285336,3.206914126570672,3.21
"flagstar_financial,_inc",Analytics,2,2.388,2.198424451456522,2.1948848902913047,2.19
"goldman_sachs_group,_inc.,_the",Analytics,5,5.0,3.7270252166351066,4.745405043327022,4.75
hsbc_north_america_holdings_inc,Analytics,5,2.489,4.8660770757270715,3.9688154151454142,3.97
huntington_bancshares_incorporated,Analytics,3,2.174,3.4428615994929324,2.758172319898587,2.76
john_deere_capital_corporation,Analytics,3,1.972,1.4568357374441083,2.280167147488822,2.28
jpmorgan_chase_&_co,Analytics,4,2.603,4.9346637232560315,3.628132744651207,3.63
keycorp,Analytics,3,1.568,5.0,2.8272000000000004,2.83
m&t_bank_corporation,Analytics,2,2.06,2.89091846583049,2.202183693166098,2.2
morgan_stanley,Analytics,2,1.265,1.8458161600961311,1.6751632320192262,1.68
northern_trust_corporation,Analytics,1,2.211,1.0546612843605505,1.4953322568721101,1.5
