document_id,filename,full_path,bank_name,source_type,document_type,word_count,global_normalized,within_type_normalized
citigroup_inc_2022_Q3,citigroup_inc_2022_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q3/citigroup_inc_2022_Q3.txt,citigroup,News,News Article,649,0.04601717311259166,0.33969245208100207
wells_fargo_&_company_2022_Q3,wells_fargo_&_company_2022_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q3/wells_fargo_&_company_2022_Q3.txt,wells,News,News Article,429,0.03041813137950974,0.22454246832473018
ally_financial_inc_2022_Q3,ally_financial_inc_2022_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q3/ally_financial_inc_2022_Q3.txt,ally,News,News Article,3098,0.21966286949585356,1.6215211348951377
bank_of_america_corporation_2022_Q3,bank_of_america_corporation_2022_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q3/bank_of_america_corporation_2022_Q3.txt,bank,News,News Article,1495,0.10600257904980667,0.7824964805255749
"goldman_sachs_group,_inc.,_the_2022_Q3","goldman_sachs_group,_inc.,_the_2022_Q3.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q3/goldman_sachs_group,_inc.,_the_2022_Q3.txt",goldman,News,News Article,3402,0.24121790898156675,1.7806374760856225
"first_citizens_bancshares,_inc_2024_Q1","first_citizens_bancshares,_inc_2024_Q1.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q1/first_citizens_bancshares,_inc_2024_Q1.txt",first,News,News Article,1166,0.08267492118533416,0.610294913908241
jpmorgan_chase_&_co_2024_Q1,jpmorgan_chase_&_co_2024_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q1/jpmorgan_chase_&_co_2024_Q1.txt,jpmorgan,News,News Article,211,0.014960899116728568,0.11043930260260622
"flagstar_financial,_inc_2024_Q1","flagstar_financial,_inc_2024_Q1.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q1/flagstar_financial,_inc_2024_Q1.txt",flagstar,News,News Article,1043,0.07395363876183837,0.5459156048081436
citigroup_inc_2024_Q1,citigroup_inc_2024_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q1/citigroup_inc_2024_Q1.txt,citigroup,News,News Article,906,0.06423969004623735,0.4742085694690106
american_express_company_2024_Q1,american_express_company_2024_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q1/american_express_company_2024_Q1.txt,american,News,News Article,1087,0.07707344710845475,0.5689456015593979
bank_of_america_corporation_2024_Q1,bank_of_america_corporation_2024_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q1/bank_of_america_corporation_2024_Q1.txt,bank,News,News Article,907,0.06431059478138773,0.47473197848608456
capital_one_financial_corporation_2024_Q1,capital_one_financial_corporation_2024_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q1/capital_one_financial_corporation_2024_Q1.txt,capital,News,News Article,2449,0.1736456963832619,1.2818286828141356
