bank_name,subcategory,total_hits,total_documents,raw_base_score,doc_score,doc_normalized_score,normalized_base_score,normalized_doc_scaled_score,log_transformed,clipped_score,log_scaled_score,clipped_scaled_score
"charles_schwab_corporation,_the",Analytics,2919,50,100.0,8130.0,162.6,5.0,1.8709508990805017,5.097424424168647,162.6,3.612210259433323,1.9313233427761693
"charles_schwab_corporation,_the",Data,817,44,100.0,1630.0,37.04545454545455,5.0,2.0291418309966027,3.6387816171311593,37.04545454545455,3.80602094818081,2.73620469466929
"charles_schwab_corporation,_the",Technology,323,44,95.0,615.0,13.977272727272727,4.8,1.737631184407796,2.706533900584246,13.977272727272727,3.4938430928095547,2.415849431273842
citigroup_inc,Analog,12077,87,100.0,18055.0,207.5287356321839,5.0,1.913950840641792,5.340076852520306,207.5287356321839,3.613351804829257,2.055978879495646
citigroup_inc,Analytics,9569,87,100.0,15625.0,179.5977011494253,5.0,1.9674555825147257,5.196271911939664,179.5977011494253,3.7052460884870766,2.034517523371659
citigroup_inc,Data,1268,70,75.0,1775.0,25.357142857142858,3.75,1.6982313429869769,3.2717393144252687,25.357142857142858,3.475006114020212,2.177945059803166
citigroup_inc,Technology,801,74,80.0,1120.0,15.135135135135135,4.2,1.7987357672515094,2.7809992007483775,15.135135135135135,3.5624565967557724,2.533136892401119
"citizens_financial_group,_inc",Analog,8136,54,100.0,21535.0,398.7962962962963,5.0,2.813967757744683,5.990955158132185,398.7962962962963,4.248086861212572,3.0958585025419465
"citizens_financial_group,_inc",Analytics,5599,55,100.0,19515.0,354.8181818181818,5.0,2.962272285637114,5.874419875157651,354.8181818181818,4.343522886429121,3.0982927814024506
"citizens_financial_group,_inc",Data,840,52,100.0,1465.0,28.173076923076923,5.0,1.7779539017969883,3.3732462607671048,28.173076923076923,3.566549526759793,2.3124403030321306
"citizens_financial_group,_inc",Technology,525,52,100.0,1210.0,23.26923076923077,5.0,2.2280013839234227,3.189209324519731,23.26923076923077,3.9385878535497003,3.357092674203232
"columbia_banking_system,_inc",Analog,3471,57,100.0,6660.0,116.84210526315789,5.0,1.4872213879118894,4.769345637432314,116.84210526315789,3.056776010452401,1.5629356332909796
"columbia_banking_system,_inc",Analytics,2871,57,100.0,9325.0,163.59649122807016,5.0,1.8766084918140429,5.103496971053853,163.59649122807016,3.6179257757977012,1.9373731076736285
"columbia_banking_system,_inc",Data,442,51,100.0,640.0,12.549019607843137,5.0,1.3356176115999585,2.606314191043344,12.549019607843137,2.8748965755862685,1.5662007464114693
"columbia_banking_system,_inc",Technology,217,50,95.0,280.0,5.6,4.8,1.2955322338830584,1.8870696490323797,5.6,2.7387757858396222,1.567260650188414
comerica_incorporated,Analog,8278,57,100.0,23465.0,411.6666666666667,5.0,2.8745297841672146,6.022640164576432,411.6666666666667,4.278986008070737,3.165831873053584
comerica_incorporated,Analytics,5804,57,100.0,19460.0,341.4035087719298,5.0,2.886110293828831,5.835989891796651,341.4035087719298,4.307352363099333,3.0168514040776597
comerica_incorporated,Data,912,53,100.0,1930.0,36.41509433962264,5.0,2.0112955578224985,3.6220742149676743,36.41509433962264,3.790953480710087,2.706097296122265
comerica_incorporated,Technology,427,50,100.0,1085.0,21.7,5.0,2.1451874062968512,3.122364924487357,21.7,3.876996367377016,3.198135019480105
cullen_frost,Analog,6428,58,100.0,15230.0,262.58620689655174,5.0,2.1730259048020835,5.574380475373689,262.58620689655174,3.8418441696544265,2.355314230798716
