document_id,filename,full_path,bank_name,source_type,document_type,word_count
"goldman_sachs_group,_inc.,_the_2022_Q3","goldman_sachs_group,_inc.,_the_2022_Q3.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q3/goldman_sachs_group,_inc.,_the_2022_Q3.txt",goldman,News,News Article,3402
"first_citizens_bancshares,_inc_2024_Q1","first_citizens_bancshares,_inc_2024_Q1.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q1/first_citizens_bancshares,_inc_2024_Q1.txt",first,News,News Article,1166
jpmorgan_chase_&_co_2024_Q1,jpmorgan_chase_&_co_2024_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q1/jpmorgan_chase_&_co_2024_Q1.txt,jpmorgan,News,News Article,211
"flagstar_financial,_inc_2024_Q1","flagstar_financial,_inc_2024_Q1.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q1/flagstar_financial,_inc_2024_Q1.txt",flagstar,News,News Article,1043
citigroup_inc_2024_Q1,citigroup_inc_2024_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q1/citigroup_inc_2024_Q1.txt,citigroup,News,News Article,906
american_express_company_2024_Q1,american_express_company_2024_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q1/american_express_company_2024_Q1.txt,american,News,News Article,1087
bank_of_america_corporation_2024_Q1,bank_of_america_corporation_2024_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q1/bank_of_america_corporation_2024_Q1.txt,bank,News,News Article,907
capital_one_financial_corporation_2024_Q1,capital_one_financial_corporation_2024_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q1/capital_one_financial_corporation_2024_Q1.txt,capital,News,News Article,2449
"goldman_sachs_group,_inc.,_the_2024_Q1","goldman_sachs_group,_inc.,_the_2024_Q1.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q1/goldman_sachs_group,_inc.,_the_2024_Q1.txt",goldman,News,News Article,1968
"columbia_banking_system,_inc_2024_Q1","columbia_banking_system,_inc_2024_Q1.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q1/columbia_banking_system,_inc_2024_Q1.txt",columbia,News,News Article,880
discover_financial_services_2024_Q1,discover_financial_services_2024_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q1/discover_financial_services_2024_Q1.txt,discover,News,News Article,2044
"charles_schwab_corporation,_the_2024_Q1","charles_schwab_corporation,_the_2024_Q1.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q1/charles_schwab_corporation,_the_2024_Q1.txt",charles,News,News Article,1191
