bank_name,subcategory,total_hits,raw_base_score,raw_scaled_score,total_documents,normalized_base_score,normalized_scaled_score
hsbc_north_america_holdings_inc,Data,1048,3626.0,3626.0,61,2.345817120622568,2.345817120622568
hsbc_north_america_holdings_inc,Technology,460,1589.0,1589.0,57,2.2942144228132713,2.2942144228132713
huntington_bancshares_incorporated,Analog,8450,30943.0,30943.0,53,2.834860499768784,2.834860499768784
huntington_bancshares_incorporated,Analytics,6020,25375.0,25375.0,54,2.7886145348118223,2.7886145348118223
huntington_bancshares_incorporated,Data,947,3127.0,3127.0,49,2.103112840466926,2.103112840466926
huntington_bancshares_incorporated,Technology,378,1233.0,1233.0,48,1.9037565122018099,1.9037565122018099
john_deere_capital_corporation,Analog,1327,4160.0,4160.0,36,1.0,1.0
john_deere_capital_corporation,Analytics,954,3732.0,3732.0,36,1.0042870687167649,1.0042870687167649
john_deere_capital_corporation,Data,294,930.0,930.0,25,1.0345330739299612,1.0345330739299612
john_deere_capital_corporation,Technology,136,500.0,500.0,24,1.0998080614203456,1.0998080614203456
jpmorgan_chase_&_co,Analog,14241,60651.0,60651.0,75,4.8701080720023295,4.8701080720023295
jpmorgan_chase_&_co,Analytics,11507,52198.0,52198.0,74,5.0,5.0
jpmorgan_chase_&_co,Data,1723,6392.0,6392.0,62,3.691147859922179,3.691147859922179
jpmorgan_chase_&_co,Technology,809,3094.0,3094.0,61,3.944886207842062,3.944886207842062
keycorp,Analog,11869,48446.0,48446.0,53,4.0339630397177455,4.0339630397177455
keycorp,Analytics,9391,41309.0,41309.0,53,4.102271321983594,4.102271321983594
keycorp,Data,1434,5529.0,5529.0,51,3.2714007782101167,3.2714007782101167
keycorp,Technology,576,2241.0,2241.0,49,3.0093227310117907,3.0093227310117907
m&t_bank_corporation,Analog,6365,22429.0,22429.0,56,2.2515799749944336,2.2515799749944336
m&t_bank_corporation,Analytics,4922,20041.0,20041.0,53,2.3488602168267447,2.3488602168267447
m&t_bank_corporation,Data,674,1693.0,1693.0,50,1.4056420233463034,1.4056420233463034
m&t_bank_corporation,Technology,354,765.0,765.0,39,1.3904579106114614,1.3904579106114614
morgan_stanley,Analog,7282,23627.0,23627.0,67,2.3336530392039325,2.3336530392039325
morgan_stanley,Analytics,3217,12137.0,12137.0,64,1.697225771878478,1.697225771878478
morgan_stanley,Data,769,2063.0,2063.0,51,1.585603112840467,1.585603112840467
morgan_stanley,Technology,407,880.0,880.0,47,1.5165889772415684,1.5165889772415684
northern_trust_corporation,Analog,3824,8047.0,8047.0,50,1.2662921540753935,1.2662921540753935
northern_trust_corporation,Analytics,1567,3680.0,3680.0,50,1.0,1.0
northern_trust_corporation,Data,716,1456.0,1456.0,34,1.2903696498054475,1.2903696498054475
northern_trust_corporation,Technology,226,452.0,452.0,29,1.0471620510008226,1.0471620510008226
old_national_bancorp,Analog,5581,20984.0,20984.0,54,2.1525853357767994,2.1525853357767994
old_national_bancorp,Analytics,4556,18463.0,18463.0,53,2.2187641699987632,2.2187641699987632
old_national_bancorp,Data,829,2636.0,2636.0,52,1.8642996108949417,1.8642996108949417
old_national_bancorp,Technology,269,859.0,859.0,50,1.4935563476830271,1.4935563476830271
"pinnacle_financial_partners,_inc",Analog,7065,23691.0,23691.0,53,2.3380375768578623,2.3380375768578623
"pinnacle_financial_partners,_inc",Analytics,4169,15721.0,15721.0,54,1.9927037388185829,1.9927037388185829
"pinnacle_financial_partners,_inc",Data,734,2320.0,2320.0,53,1.710603112840467,1.710603112840467
"pinnacle_financial_partners,_inc",Technology,348,1080.0,1080.0,50,1.7359473539895804,1.7359473539895804
"pnc_financial_services_group,_inc.,_the",Analog,3400,7340.0,7340.0,42,1.2178567146796375,1.2178567146796375
"pnc_financial_services_group,_inc.,_the",Analytics,1957,4223.0,4223.0,56,1.044766890638526,1.044766890638526
"pnc_financial_services_group,_inc.,_the",Data,528,1089.0,1089.0,41,1.1118677042801557,1.1118677042801557
"pnc_financial_services_group,_inc.,_the",Technology,209,433.0,433.0,36,1.0263230052097614,1.0263230052097614
"popular,_inc",Analog,5949,21390.0,21390.0,58,2.180399746518917,2.180399746518917
"popular,_inc",Analytics,6062,25699.0,25699.0,59,2.8153262706624345,2.8153262706624345
"popular,_inc",Data,966,3432.0,3432.0,56,2.2514591439688716,2.2514591439688716
"popular,_inc",Technology,299,832.0,832.0,56,1.4639429668220454,1.4639429668220454
"prosperity_bancshares,_inc",Analog,3427,13913.0,13913.0,33,1.668162433418398,1.668162433418398
"prosperity_bancshares,_inc",Analytics,4738,22418.0,22418.0,33,2.5448287233604026,2.5448287233604026
"prosperity_bancshares,_inc",Data,442,1679.0,1679.0,33,1.3988326848249026,1.3988326848249026
"prosperity_bancshares,_inc",Technology,151,548.0,548.0,30,1.1524540718398684,1.1524540718398684
"raymond_james_financial,_inc",Analog,5065,16889.0,16889.0,55,1.8720434343261343,1.8720434343261343
"raymond_james_financial,_inc",Analytics,3570,13167.0,13167.0,53,1.7821427099220908,1.7821427099220908
"raymond_james_financial,_inc",Data,837,2418.0,2418.0,53,1.7582684824902723,1.7582684824902723
"raymond_james_financial,_inc",Technology,330,1158.0,1158.0,53,1.8214971209213053,1.8214971209213053
regions_financial_corporation,Analog,6985,23153.0,23153.0,58,2.3011800572045145,2.3011800572045145
regions_financial_corporation,Analytics,5387,19993.0,19993.0,58,2.344902922626654,2.344902922626654
regions_financial_corporation,Data,877,2564.0,2564.0,55,1.8292801556420235,1.8292801556420235
regions_financial_corporation,Technology,321,894.0,894.0,47,1.5319440636139292,1.5319440636139292
"santander_holdings_usa,_inc",Analog,8284,26939.0,26939.0,54,2.5605528627948004,2.5605528627948004
"santander_holdings_usa,_inc",Analytics,4291,17093.0,17093.0,55,2.1058163980378417,2.1058163980378417
"santander_holdings_usa,_inc",Data,651,1884.0,1884.0,51,1.4985408560311284,1.4985408560311284
"santander_holdings_usa,_inc",Technology,640,2432.0,2432.0,50,3.218809980806142,3.218809980806142
southstate_corporation,Analog,5814,18531.0,18531.0,55,1.9845342285097711,1.9845342285097711
southstate_corporation,Analytics,3964,14579.0,14579.0,55,1.8985531143080918,1.8985531143080918
southstate_corporation,Data,803,2086.0,2086.0,46,1.5967898832684826,1.5967898832684826
